"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"20","MI","Saugatuck Public Schools","161658",2020,34761380,11964595,1305386,0,0,0,17473626,0,3838863,0,178810,590749,2652672,0,8965124,-356671,12565216,0,0,0,12208545,"2630960","807","Allegan County","Douglas"
"21","MI","Schoolcraft Community Schools","161652",2020,69104369,44344387,1832825,0,0,0,18765152,0,4075026,0,86979,317341,2933411,0,9623351,-878581,13752684,0,0,0,12874103,"2631020","1068","Kalamazoo County","SCHOOLCRAFT"
"22","AK","Annette Islands School District","91417",2020,6013570,0,1058554,0,0,0,4831942,0,90346,257196,32728,72844,991402,37180,9658258,2128004,8631680,0,0,0,10759684,"0200525","310","Prince of Wales-Hyder Census Area","Metlakatla"
"23","AK","Alaska Gateway School District","30400",2020,7710358,0,1289902,0,0,0,6257515,0,130289,293913,32652,5252,4189323,521800,10634870,1764187,13587058,0,0,0,15351245,"0200050","409","Southeast Fairbanks Census Area","Tok"
"24","PA","Fairview School District","167063",2020,58383486,14388944,1652687,325003,0,81929,37754000,0,3432949,0,747974,385120,4808676,288753,23369932,2024700,26827781,0,0,0,28852481,"4209570","1810","Erie County","Fairview"
"25","AK","Anchorage School District","40425",2020,998762854,489914086,38999834,2672312,0,0,436189898,0,5939509,24355214,13357920,7359778,131738548,20264427,633503534,117753419,675112868,0,0,0,792866287,"0200180","46143","Anchorage Municipality","Anchorage"
"26","AK","Bering Strait School District","30406",2020,38088394,0,6237137,0,0,0,30021741,0,497016,1548292,0,1478250,7066469,12864355,57699195,17268479,61839790,0,0,0,79108269,"0200020","1900","Nome Census Area","Unalakleet"
"27","AK","Aleutians East Borough School District","31587",2020,3739064,0,139816,0,0,0,3481263,0,46169,218228,71816,97969,627523,0,8732835,827746,8630581,0,0,0,9458327,"0200007","234","Aleutians East Borough","Sand Point"
"28","AK","Yukon-Koyukuk School District","30414",2020,11825284,0,1981310,0,0,0,9681575,0,162399,508246,0,339630,6366216,5132151,20042774,6061847,25818924,0,0,0,31880771,"200862",NA,NA,NA
"29","AK","Delta/Greely School District","93562",2020,8306697,0,579058,0,0,0,7335004,0,103394,381933,289241,57527,1720494,0,10860332,1079456,11558897,0,0,0,12638353,"200100",NA,NA,NA
"30","AK","Fairbanks North Star Borough School District","40268",2020,155937883,0,3867149,0,0,0,138139136,0,2145258,0,5247290,1255280,15269536,425737,183794284,15628383,185116454,0,0,0,200744837,"0200600","13319","Fairbanks North Star Borough","Fairbanks"
"31","AK","Dillingham City School District","31592",2020,6339773,0,646871,0,0,0,5618489,0,74413,334219,0,6283,2276615,0,8830072,936678,10176292,0,0,0,11112970,"0200120","442","Dillingham Census Area","Dillingham"
"32","AK","Hydaburg City School District","65139",2020,1573907,0,512470,0,0,0,1042598,0,18839,47760,0,1826,2710199,239224,2190158,711360,4430047,0,0,0,5141407,"0200330","112","Prince of Wales-Hyder Census Area","Hydaburg"
"33","AK","Craig City School District","31603",2020,4145600,0,378750,0,0,0,3755637,0,0,137235,11213,130468,1126177,0,7011543,1029290,7238898,0,0,0,8268188,"0200090","560","Prince of Wales-Hyder Census Area","Craig"
"34","AK","Klawock City School District","45184",2020,2427020,0,183290,0,0,0,2211654,0,32076,113779,0,40648,650911,8714,3696834,1020885,3376222,0,0,0,4397107,"0200450","131","Prince of Wales-Hyder Census Area","Klawock"
"35","AK","Kashunamiut School District","30415",2020,4886748,0,423255,0,0,0,4377344,0,86149,175589,0,107370,1122402,47568,8751624,1288040,8740924,0,0,0,10028964,"0200005","313","Kusilvak Census Area","Chevak"
"36","AK","Lake and Peninsula School District","31588",2020,8490463,0,1078459,0,0,0,7296369,0,115635,369764,0,356116,1351167,0,12952304,1064181,13595406,0,0,0,14659587,"0200485","361","Bristol Bay Borough","King Salmon"
"37","AK","Kenai Peninsula Borough School District","31578",2020,104128795,0,13224148,0,0,0,86580554,0,1214936,4773890,3109157,584617,18219435,0,143796904,20590387,142010569,0,0,0,162600956,"0200390","8774","Kenai Peninsula Borough","Soldotna"
"38","AK","North Slope Borough School District","31586",2020,49903821,0,6303058,0,0,0,42874249,0,726514,1676755,0,1649088,2095861,0,67013576,3958101,66800424,0,0,0,70758525,"0200610","2170","North Slope Borough","Utqiagvik"
"39","AK","Galena City School District","31610",2020,14946076,0,2390420,0,0,0,11995563,0,233318,535264,326775,8546,5417695,3920921,33265297,7353187,35259272,0,0,0,42612459,"0200130","5326","Yukon-Koyukuk Census Area","Galena"
"40","AK","Kake City School District","40239",2020,2290819,0,279570,0,0,0,1976603,0,34646,96657,0,120685,598270,0,2980417,139892,3559480,0,0,0,3699372,"0200360","103","Prince of Wales-Hyder Census Area","Kake"
"41","AK","Hoonah City School District","31606",2020,1991464,0,202813,0,0,0,1753143,0,35508,68387,0,5744,872092,5250,3194592,1032244,3045434,0,0,0,4077678,"0200300","127","Hoonah-Angoon Census Area","Hoonah"
"42","AK","Ketchikan Gateway Borough School District","31580",2020,29215519,0,479826,0,0,0,26521204,0,435710,1358575,464035,199128,1970344,903777,37100042,4325503,35847788,0,0,0,40173291,"0200150","2291","Ketchikan Gateway Borough","Ketchikan"
"43","AK","Iditarod Area School District","30412",2020,4342734,0,592392,0,0,0,3588102,0,71236,167421,91004,83223,495262,25571,7949779,135082,8418753,0,0,0,8553835,"0200520","320","Yukon-Koyukuk Census Area","McGrath"
"44","AK","Lower Yukon School District","30409",2020,30799611,0,3762697,169620,0,0,25958865,0,449456,1262037,458973,771103,10162007,2334210,58269543,293697,71243166,0,0,0,71536863,"0200003","2027","Kusilvak Census Area","Mountain Village"
"45","AK","Lower Kuskokwim School District","223683",2020,111797422,0,47744313,0,0,0,61409143,0,1137147,2704239,1506819,1791796,10791995,35585493,131776116,42342817,137602583,0,0,0,179945400,"0200001","4245","Bethel Census Area","Bethel"
"46","AK","Matanuska-Susitna Borough School District","31585",2020,178425737,0,12548370,6460231,0,0,153285432,0,1951255,9049754,4180449,999167,53516040,0,231379148,33538661,252355694,0,0,0,285894355,"200510",NA,NA,NA
"47","AK","Sitka School District","31605",2020,16565755,0,1372182,0,0,0,14875085,0,182548,891353,135940,355115,1954583,150000,19974603,3294218,19140083,0,0,0,22434301,"0200240","1203","Sitka City and Borough","Sitka"
"48","AK","Nenana City School District","48865",2020,5855373,0,418183,0,0,0,5331639,0,105551,229364,0,26113,1875620,0,9842784,1822334,9922183,0,0,0,11744517,"0200540","1442","Yukon-Koyukuk Census Area","Nenana"
"49","AK","Yupiit School District","30402",2020,6667214,0,671209,0,0,0,5900753,0,95252,305147,0,191892,1871667,52981,13828161,-768470,16713171,0,0,0,15944701,"0200004","463","Bethel Census Area","Akiachak"
"50","AK","Copper River School District","30411",2020,4441630,0,255661,0,0,0,4055668,0,76332,192170,53969,16985,928619,0,7316513,-118224,8380341,0,0,0,8262117,"0200070","446","Valdez-Cordova Census Area","Glennallen"
"51","AK","Southwest Region Schools","30403",2020,13047059,0,1615472,0,0,0,11244337,0,187250,555543,0,499030,2311495,46274,18322338,-1829609,23008746,0,0,0,21179137,"0200710","636","Dillingham Census Area","Dillingham"
"52","AK","Yukon Flats School District","30413",2020,9659917,0,1173730,0,0,0,2396201,0,77212,230527,14576,99020,1926277,76854,9292190,393832,11000509,0,0,0,11394341,"0200775","211","Yukon-Koyukuk Census Area","Fort Yukon"
"53","AK","Petersburg School District","64747",2020,5272548,0,156996,0,0,0,5011764,0,62656,302035,41132,100237,1721348,578712,8178044,1753466,8824875,0,0,0,10578341,"0200660","469","Petersburg Borough","Petersburg"
"54","AK","Northwest Arctic Borough School District","31582",2020,55316897,0,24533332,0,0,0,15034810,0,15748755,1628036,0,773005,7752078,6536599,54980574,8071930,61970326,0,0,0,70042256,"0200625","2097","Northwest Arctic Borough","Kotzebue"
"55","AK","Southeast Island School District","65158",2020,4716901,0,1072079,0,0,0,3572020,0,65448,180494,7354,103885,1034663,790619,6337440,907518,7359089,0,0,0,8266607,"0200700","175","Prince of Wales-Hyder Census Area","Thorne Bay"
"56","AK","Chatham School District","64745",2020,3141239,0,499831,0,0,0,2596403,0,45005,127757,0,95,754935,0,4434719,-186886,5376635,0,0,0,5189749,"0200730","152","Hoonah-Angoon Census Area","Angoon"
"57","AK","Kodiak Island Borough School District","31584",2020,33148279,0,6342911,48702,0,0,25598717,0,427164,1343528,654098,160535,4513115,68932,42135744,7479592,39398734,0,0,0,46878326,"0200480","2308","Kodiak Island Borough","Kodiak"
"58","AK","Nome Public Schools","40367",2020,7422388,0,1305333,0,0,0,5928387,0,83015,350585,105653,254001,1840917,129914,13146183,3284014,12087001,0,0,0,15371015,"0200570","710","Nome Census Area","Nome"
"59","AK","City and Borough of Juneau School District","40426",2020,59320116,0,3437639,0,0,0,52774701,0,821807,2684846,2285969,1579113,12862935,135263,71225039,7779733,78022617,0,0,0,85802350,"0200210","4725","Juneau City and Borough","Juneau"
"60","AK","Pribilof School District","30401",2020,1221676,0,102089,0,0,0,1101292,0,18295,51370,0,55158,343558,0,1967331,279539,2086508,0,0,0,2366047,"0200670","65","Aleutians West Census Area","St. Paul Island"
"61","AR","Beebe School District","1027237",2020,1225779,21940000,1225779,0,0,0,25587510,0,0,0,0,0,0,0,42865621,6444041,36421580,0,0,0,42865621,"0502880","3356","White County","BEEBE"
"62","AR","Danville School District No. 36","47163",2020,53101,3190000,53101,0,0,0,7044540,0,0,0,0,0,0,0,12175512,354492,11821020,0,0,0,12175512,"0504890","861","Yell County","DANVILLE"
"63","AL","Oneonta City Board of Education","43630",2020,25025381,0,1071387,0,0,0,11133000,0,4550768,0,0,1208212,10927840,481058,3365354,813787,15168677,0,0,0,15982464,"0102550","1488","Blount County","Oneonta"
"64","AR","Cabot School District No. 4","98650",2020,121720,55770000,121720,0,0,0,80595185,0,0,0,0,0,0,0,113087105,-446926,113534031,0,0,0,113087105,"0503750","10851","Lonoke County","CABOT"
"65","AR","Bentonville School District No. 6","98641",2020,10761101,334170456,10761101,0,0,369764,145365059,0,0,0,0,0,0,0,227626220,-22408072,250034292,0,0,0,227626220,"0503060","17848","Benton County","BENTONVILLE"
"66","AR","Dollarway School District No. 2","98673",2020,192611,12710000,192611,129238,0,0,10198317,0,0,0,0,0,0,0,14516684,-1385320,15902004,0,0,0,14516684,"0505410","1020","Jefferson County","PINE BLUFF"
"67","AR","Alma School District No. 30","1027222",2020,1460127,46935000,1460127,93626,0,0,24889783,0,0,0,0,0,0,0,58856009,177554,58678455,0,0,0,58856009,"0502250","3297","Crawford County","ALMA"
"68","AL","Oxford City Board of Education","1017284",2020,113136289,7771253,1541987,2186168,0,0,35821000,0,16078480,0,0,886561,30401611,2163437,16613226,2733393,47331442,0,0,0,50064835,"0102635","4265","Calhoun County","Oxford"
"69","AR","Batesville School District No.1","98636",2020,382581,27400000,382581,0,857639,0,25342208,0,0,0,0,0,0,0,68153371,124942,68028429,0,0,0,68153371,"0500019","3414","Independence County","BATESVILLE"
"70","AL","Phenix City Board of Education","1017779",2020,160200811,11898912,5484018,0,0,0,59396000,0,24782935,0,0,2903222,61167521,0,13612653,-9884,77693280,0,0,0,77683396,"0102700","7449","Russell County","Phenix City"
"71","AR","Booneville School District No. 65","98646",2020,66600,11650000,66600,0,0,0,9660198,0,0,0,0,0,0,0,24821653,739060,24082593,0,0,0,24821653,"0503450","1272","Logan County","BOONEVILLE"
"72","AR","Bismarck School District No. 25","98643",2020,29554,7055000,29554,0,0,0,7219423,0,0,0,0,0,0,0,17498149,474635,17023514,0,0,0,17498149,"0503240","1017","Hot Spring County","BISMARCK"
"73","AR","Dequeen-Mena Educational Service Cooperative","30778",2020,4682,0,4682,0,0,0,7616875,0,0,0,0,0,0,0,9772552,264463,9508089,0,0,0,9772552,"500037","12006",NA,NA
"74","AL","Hartselle City Board of Education","30374",2020,73086967,0,3310357,0,0,0,28665000,0,12284057,0,202068,3284740,25248725,1130290,10803583,2352807,38114531,0,0,0,40467338,"0101730","3519","Morgan County","Hartselle"
"75","AR","Crossett School District No. 52","98666",2020,5284250,29780000,5284250,0,0,0,12269883,0,0,0,0,0,0,0,22430241,659206,21771035,0,0,0,22430241,"0504800","1780","Ashley County","CROSSETT"
"76","AR","Conway School District No. 1","108515",2020,1784161,149065000,1784161,76703,0,0,80196980,0,0,0,0,0,0,0,217447720,3381498,214066222,0,0,0,217447720,"0504590","10393","Faulkner County","CONWAY"
"77","AR","Clarksville School District No. 17","98660",2020,547381,23900000,547381,0,0,0,20429861,0,0,0,0,0,0,0,35686949,714896,34972053,0,0,0,35686949,"0504380","2539","Johnson County","CLARKSVILLE"
"78","AR","Lafayette County School District","50534",2020,30959,3055000,30959,289789,0,0,5429712,0,0,0,0,0,0,0,8171042,-693064,8864106,0,0,0,8171042,"0500065","545","Lafayette County","LEWISVILLE"
"79","AR","Cedarville School District No. 44","98656",2020,228621,5575000,228621,0,0,0,6384813,0,0,0,0,0,0,0,9305594,-649834,9955428,0,0,0,9305594,"0504080","765","Crawford County","CEDARVILLE"
"80","AR","Centerpoint School District No. 43","1027236",2020,1516,9490000,1516,1489,0,0,7743578,0,0,0,0,0,0,0,20486317,-129551,20615868,0,0,0,20486317,"0506690","1037","Pike County","AMITY"
"81","AR","Decatur School District No. 17","98668",2020,160370,9065000,160370,0,0,0,4702623,0,0,0,0,0,0,0,16854478,4357957,12496521,0,0,0,16854478,"0504980","572","Benton County","DECATUR"
"82","AR","Augusta School District No. 10","1027226",2020,43629,4405000,43629,0,0,0,4173778,0,0,0,0,0,0,0,5588874,345437,5243437,0,0,0,5588874,"0502670","358","Woodruff County","AUGUSTA"
"83","AR","Cleveland County School District","1027261",2020,196934,3055000,196934,26000,0,0,8023821,0,0,0,0,0,0,0,10371341,-683391,11054732,0,0,0,10371341,"0500067","840","Cleveland County","RISON"
"84","AR","Bald Knob School District","30787",2020,169162,7935456,169162,0,0,0,9138154,0,0,0,0,0,0,0,12954445,-17044,12971489,0,0,0,12954445,"0502700","1212","White County","BALD KNOB"
"85","AL","Saraland Board of Education","53559",2020,123379301,0,3221245,32443334,0,0,24254000,0,10020132,0,0,2445685,22433456,1085258,11049016,-584962,37598377,0,0,0,37013415,"0100185","3233","Mobile County","Saraland"
"86","AR","Buffalo Island Central School District No. 40","197763",2020,30706,10945000,30706,0,0,0,5606531,0,0,0,0,0,0,0,10414467,152201,10262266,0,0,0,10414467,"0503710","766","Craighead County","MONETTE"
"87","AR","Cave City School District No. 2a","1027234",2020,248040,4105000,248040,0,0,0,9115033,0,0,0,0,0,0,0,14598986,647218,13951768,0,0,0,14598986,"0504050","1237","Sharp County","CAVE CITY"
"88","AR","Barton-Lexa School District No.4","1027228",2020,183508,9870000,183508,16459,0,0,6107468,0,0,0,0,0,0,0,7838307,-334648,8172955,0,0,0,7838307,"0502730","733","Phillips County","BARTON"
"89","AR","Caddo Hills School District No. 28","98651",2020,21643,3095000,21643,0,0,0,4200961,0,0,0,0,0,0,0,9512897,2200948,7311949,0,0,0,9512897,"0503770","586","Montgomery County","NORMAN"
"90","AR","Brookland School District No. 14","98648",2020,116133,20100000,116133,0,0,0,17020094,0,0,0,0,0,0,0,29112212,1589816,27522396,0,0,0,29112212,"0503640","2816","Craighead County","BROOKLAND"
"91","AR","Bergman School District No. 3","1027231",2020,14865,1500000,14865,0,0,0,7778685,0,0,0,0,0,0,0,10256565,-92037,10348602,0,0,0,10256565,"0503090","1176","Boone County","BERGMAN"
"92","AR","Arkadelphia School District No 1","1027205",2020,24165,19685000,24165,0,0,0,15841352,0,0,0,0,0,0,0,21579877,1209770,20370107,0,0,0,21579877,"0502430","1815","Clark County","ARKADELPHIA"
"93","AR","Dawson Educational Cooperative","56143",2020,311000,0,311000,0,0,580356,11096436,0,0,0,0,0,0,0,15566717,391150,15175567,0,0,0,15566717,"500008","42625",NA,NA
"94","AR","Salem School District No. 30","98785",2020,35528,0,35528,0,0,0,5784131,0,0,0,0,0,0,0,9139312,218617,8920695,0,0,0,9139312,"0512090","841","Fulton County","SALEM"
"95","AR","Sheridan School District No. 37","98787",2020,1634716,57675000,1634716,0,0,0,28578312,0,0,0,0,0,0,0,59059054,361883,58697171,0,0,0,59059054,"0500015","4229","Grant County","SHERIDAN"
"96","AR","Hamburg School District No. 51","98703",2020,615581,18940000,615581,2656,0,0,13653539,0,0,0,0,0,0,0,26859830,4790986,22068844,0,0,0,26859830,"0500042","1836","Ashley County","HAMBURG"
"97","AR","Rivercrest School District No. 57","98780",2020,59728,11465000,59728,53646,0,164161,9011600,0,0,0,0,0,0,0,14250683,-83813,14334496,0,0,0,14250683,"0500045","1149","Mississippi County","WILSON"
"98","AR","Harrisburg School District No. 6","98707",2020,396858,7610000,396858,0,0,0,10933326,0,0,0,0,0,0,0,15292927,-140172,15433099,0,0,0,15292927,"0507350","1129","Poinsett County","HARRISBURG"
"99","AR","Fort Smith School District No. 100","1027267",2020,1935395,180310491,1935395,0,0,0,130857971,0,0,0,0,0,0,0,211331943,7584385,203747558,0,0,0,211331943,"0506330","14748","Sebastian County","FORT SMITH"
"100","AR","Newport School District","1027309",2020,945568,15450000,945568,0,0,0,9132671,0,0,0,0,0,0,0,27897287,4875345,23021942,0,0,0,27897287,"0500023","1245","Jackson County","NEWPORT"
"101","AR","Pocahontas School District No. 19","98773",2020,5628,10660000,5628,35268,0,0,14107016,0,0,0,0,0,0,0,24597773,-28649541,53247314,0,0,0,24597773,"0511610","2122","Randolph County","POCAHONTAS"
"102","AR","Mena School District No. 23","1027296",2020,89569,22225000,89569,0,0,0,12194689,0,0,0,0,0,0,0,19776742,700334,19076408,0,0,0,19776742,"0509750","1763","Polk County","MENA"
"103","AR","Jonesboro School District No. 1","98723",2020,955433,29460000,955433,0,0,0,51643922,0,0,0,0,0,0,0,78053929,4974299,73079630,0,0,0,78053929,"0508280","6719","Craighead County","JONESBORO"
"104","AR","Farmington School District No. 6","98682",2020,99161,43121399,99161,0,0,0,17833074,0,0,0,0,0,0,0,55596174,-1756275,57352449,0,0,0,55596174,"0506090","2556","Washington County","FARMINGTON"
"105","AR","Mountain Pine School District No. 46","98752",2020,36405,6285000,36405,0,0,0,4645912,0,0,0,0,0,0,0,13600669,210863,13389806,0,0,0,13600669,"0510170","604","Garland County","MOUNTAIN PINE"
"106","AR","Magnolia School District No. 14","30691",2020,341952,27825000,341952,0,0,0,23212734,0,0,0,0,0,0,0,40340459,-8647006,48987465,0,0,0,40340459,"0500044","2788","Columbia County","MAGNOLIA"
"107","AR","Lee County School District No. 1","45680",2020,268331,1220000,268331,0,0,0,6964793,0,0,0,0,0,0,0,8979325,-692857,9672182,0,0,0,8979325,"0509360","644","Lee County","MARIANNA"
"108","AR","Marion School District No. 3","98740",2020,638306,53660000,638306,0,0,0,27767660,0,0,0,0,0,0,0,73932491,17621474,56311017,0,0,0,73932491,"0509390","4021","Crittenden County","MARION"
"109","AR","Magazine School District No. 15","98734",2020,27518,5820000,27518,0,0,0,4376098,0,0,0,0,0,0,0,10723620,442193,10281427,0,0,0,10723620,"0509150","590","Logan County","MAGAZINE"
"110","AR","England School District No. 2","98680",2020,181509,11045000,181509,40083,0,0,5664455,0,0,0,0,0,0,0,18297784,6154643,12143141,0,0,0,18297784,"0505850","661","Lonoke County","ENGLAND"
"111","AR","Marmaduke School District No. S-2","1027289",2020,60335,1095000,60335,16239,0,0,5395204,0,0,0,0,0,0,0,7356096,-31786,7387882,0,0,0,7356096,"0500016","787","Greene County","MARMADUKE"
"112","AR","Smackover-Norphlet School District No. 39","1027325",2020,36287,8435000,36287,0,0,0,9356506,0,0,0,0,0,0,0,12641009,290,12640719,0,0,0,12641009,"0512510","1143","Union County","SMACKOVER"
"113","AR","Lawrence County School District","43680",2020,1523118,7845000,1523118,0,0,0,6741151,0,0,0,0,0,0,0,11101462,-4900938,16002400,0,0,0,11101462,"0500082","1002","Lawrence County","WALNUT RIDGE"
"114","AR","Lonoke School District No. 1","1027282",2020,166667,35665000,166667,0,0,0,12725212,0,0,0,0,0,0,0,49384746,12774623,36610123,0,0,0,49384746,"0509060","1725","Lonoke County","LONOKE"
"115","AR","Pine Bluff School District No. 3","1027316",2020,1523298,28490000,1523298,221468,0,0,28779972,0,0,0,0,0,0,0,41896342,-480047,42376389,0,0,0,41896342,"0500026","3059","Jefferson County","PINE BLUFF"
"116","AR","Great Rivers Educational Service Cooperative","98693",2020,133643,0,133643,0,0,0,3913175,0,0,0,0,0,0,0,6257018,118298,6138720,0,0,0,6257018,"500033","12101",NA,NA
"117","AR","Helena-West Helena School District No. 2","49169",2020,577752,25475000,577752,0,0,0,12387790,0,0,0,0,0,0,0,18811547,-3982157,22793704,0,0,0,18811547,"0507680","1228","Phillips County","HELENA"
"118","AR","Marked Tree School District No. 28","98741",2020,91804,7190000,91804,90000,0,0,3980332,0,0,0,0,0,0,0,9287754,-1867843,11155597,0,0,0,9287754,"0509420","508","Poinsett County","MARKED TREE"
"119","AR","Marvell School District No. 22","30755",2020,47670,4155000,47670,0,0,0,3955025,0,0,0,0,0,0,0,5659071,-2639263,8298334,0,0,0,5659071,"0509510","364","Phillips County","MARVELL"
"120","AR","Paragould School District No. 1","1027317",2020,787606,24620000,787606,0,0,0,24029542,0,0,0,0,0,0,0,35945787,1222731,34723056,0,0,0,35945787,"0500017","3255","Greene County","PARAGOULD"
"121","AR","Monticello School District No. 18","30705",2020,196428,6650000,196428,67896,0,0,15808286,0,0,0,0,0,0,0,21972024,566277,21405747,0,0,0,21972024,"0509840","1844","Drew County","MONTICELLO"
"122","AR","Mountain Home School District No. 9","98751",2020,142027,38060000,142027,0,0,0,27390910,0,0,0,0,0,0,0,41495221,654823,40840398,0,0,0,41495221,"0500043","3992","Baxter County","MOUNTAIN HOME"
"123","AR","Jacksonville/North Pulaski School District","58500",2020,2414844,64370000,2414844,59326,0,0,30981572,0,0,0,0,0,0,0,64007002,-6551889,70558891,0,0,0,64007002,"0500419","4314","Pulaski County","JACKSONVILLE"
"124","AR","Guy Fenter Education Service Cooperative","30709",2020,3318,0,3318,0,0,0,3798118,0,0,0,0,0,0,0,5856622,32468,5824154,0,0,0,5856622,"99999","42988",NA,NA
"125","AR","Paris School District No. 7","98767",2020,97519,9860000,97519,0,0,0,8885111,0,0,0,0,0,0,0,11600165,-39511,11639676,0,0,0,11600165,"0511130","1072","Logan County","PARIS"
"126","AR","Searcy Special School District","108526",2020,820932,13240000,820932,0,0,0,30599568,0,0,0,0,0,0,0,49627339,1027668,48599671,0,0,0,49627339,"512210","4006",NA,NA
"127","AR","Hermitage School District No. 12","98712",2020,39215,4965000,39215,0,0,0,3929864,0,0,0,0,0,0,0,5420841,-310863,5731704,0,0,0,5420841,"0507710","468","Bradley County","HERMITAGE"
"128","AR","Mansfield School District No. 76","47026",2020,113600,7980413,113600,0,0,0,6813058,0,0,0,0,0,0,0,8889032,-16022,8905054,0,0,0,8889032,"0509330","757","Scott County","MANSFIELD"
"129","AR","Mayflower School District No. 78","98743",2020,683922,14840000,683922,0,0,0,8597907,0,0,0,0,0,0,0,11989761,-3525011,15514772,0,0,0,11989761,"0509540","1085","Faulkner County","MAYFLOWER"
"130","AR","Greene County Technical School District No. 1","228371",2020,443672,35095000,443672,0,0,0,28004373,0,0,0,0,0,0,0,37768739,655477,37113262,0,0,0,37768739,"0513080","3844","Greene County","PARAGOULD"
"131","AR","Perryville School District No. 7","98770",2020,9330,6045000,9330,86833,0,0,6801428,0,0,0,0,0,0,0,8957191,-185918,9143109,0,0,0,8957191,"0511340","913","Perry County","PERRYVILLE"
"132","AR","Gosnell School District No. 6","98692",2020,121785,0,121785,0,0,0,9688966,0,0,0,0,0,0,0,12251904,219656,12032248,0,0,0,12251904,"0500029","1215","Mississippi County","GOSNELL"
